int_编号	string_名称	string_字	int_阵营	int_头像	int_头像2	int_武力	int_统御	int_智力	int_旧武力	int_旧统御	int_旧智力	int_耐久	int_策略	int_兵种	int_等级	int_经验	int_道具1	int_道具2	int_道具3	int_道具4	int_道具5	int_道具6	int_道具7	int_道具8	int_道具9	int_道具10	int_道具11	int_道具12	int_道具13	int_道具14	int_道具15	int_rowInYJZ	string_列传
11	馬岱		5	722	722	84	74	47	20	19	9	45	18	10	1	0	67	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	500	馬超之堂兄弟。馬騰兄之子。[n][green][13520][normal]於馬騰上京時同行，雖遭曹操軍襲擊但平安脫逃。向馬超傳達馬騰父子死訊。馬超則為向曹操挑發復仇戰而從軍，轉戰各地。最終與馬超一同成為劉備之部下。爾後，參與諸葛亮之遠征南蠻，僅以一招即斬殺忙牙長等，表現優秀。當魏延因北伐作戰問題而欲反抗諸葛亮之時，依從諸葛亮之意，成為魏延副將而監視之。於魏延背叛之時，即遵從諸葛亮之遺計殺魏延，繼承魏延之爵位。[n][green][13512][normal]於殺魏延前，並無成為魏延副將之記述。
12	王平	子均	1	54	54	72	72	67	19	21	17	46	22	4	1	0	85	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	蜀國武將。原為魏國牙門將。[n][green][13520][normal]在漢中攻防戰中為徐晃的副先鋒，卻因與徐晃不和而向蜀軍投降。之後，參加南蠻討伐戰及諸葛亮的北伐。在街亭之戰受命輔佐馬謖，未能勸阻獨斷行動的馬謖。在諸葛亮的遺言中，列為忠義之士的一員。[n][green][13512][normal]原名何平。在街亭的撤退戰防止了敵軍的追擊，是諸多降格的將領中唯一升級的人。在討伐反叛的魏延後，歷任漢中太守、前將軍、鎮北大將軍，負責漢中方面的防守。
13	徐庶	元直	1	413	413	44	85	97	12	22	22	34	36	19	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	290	劉備的幕僚。司馬徽的弟子，是諸葛亮、龐統的學友。[n][green][13520][normal]被在新野的劉備任用為軍師，在初次對陣時擊敗曹操所派遣的呂曠、呂翔部隊。之後來襲的曹仁和李典也因為曹仁所設的「[wheat]八門金鎖陣[normal]」被破而撤退。欲得其才的曹操便抓走徐母以假信騙誘。滿是孝心的徐庶未看穿假信，在發誓不為曹操提供任何計謀後離開劉備。在告別之際，推薦諸葛亮為後任。之後徐庶之母因感嘆自己誤子前途而自殺。[n][green][13512][normal]原名徐福。在曹丕時代升到御史中丞。
14	龐統	士元	5	780	780	51	88	98	8	23	24	35	36	19	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	541	劉備之參謀。司馬徽之門人。龐德公之外甥。與「[wheat]伏龍[normal]」諸葛亮齊名人稱「[wheat]鳳雛[normal]」。其貌不揚。[n][green][13520][normal]於赤壁之戰時使用「[wheat]連環計[normal]」將曹操之船隊以鎖相連，促使周瑜火攻成功。後效命於劉備，成為耒陽縣縣令，起初時只顧喝酒，全然不執政務。但若被命令執行政務之時，需用百日完成之工作，其以半日即告完成，實力亦受認同。於益州平定戰時，以劉備之軍師身分同行，於落鳳坡遭張任之伏兵，陣亡。[n][green][13512][normal]遭劉備罷免耒陽縣縣令後，因魯肅及諸葛亮居中調解，與劉備相談後，實力受到肯定。
15	馬超	孟起	5	728	724	99	88	44	25	22	9	60	0	7	1	0	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	502	馬騰長男。馬休、馬鐵的兄長。蜀漢五虎將軍之一。[n][green][13520][normal]在父弟遭曹操謀殺時，和馬騰的結拜兄弟韓遂一起發動了復仇戰。並接連攻下長安、潼關，在渭水和曹操對陣，但中了曹操參謀賈詡的離間計而和韓遂決裂導至大敗。雖然奪了冀城而持續抵抗著，但在楊阜等人的計略之下遭到驅逐並失去了妻子。之後投靠於張魯並和劉備軍交戰，和張飛展開了激烈的對戰。在李恢的說服之下，倒戈加入了劉備陣營。有「[wheat]錦馬超[normal]」的綽號。[n][green][13512][normal]因警戒曹操企圖征伐漢中的行動而起兵，但敗北。也因這場叛亂，讓馬騰、馬休、馬鐵等人受連累而遭處刑。
16	蔣琬	公琰	5	375	375	60	73	85	14	18	22	30	30	28	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	262	蜀國官僚。和諸葛亮、費禕、董允一起被稱為是「[wheat]蜀國四相[normal]」。[n][green][13520][normal]劉備和益州的劉璋陷入苦戰之際，和諸葛亮一起來到益州。在諸葛亮壓制南蠻時也隨軍，也勸諫街亭之戰而要斬馬謖的諸葛亮。之後在諸葛亮進行北伐時，也從成都盡力於後方支援。諸葛亮死時的遺言指名他為繼承人，因此當上了丞相、大將軍錄尚書事。[n][green][13512][normal]在諸葛亮病逝後，只靠蔣琬難以發動攻勢。在魏國公孫淵造反之際，他提案趁機從漢中派水軍來襲擊魏興、上庸等地，但因為患病而只能放棄。
17	費禕	文偉	5	747	747	48	84	80	3	9	21	30	26	29	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	515	蜀國官僚。與諸葛亮、蔣琬、董允同稱「[wheat]蜀國四相[normal]」。[n][green][13520][normal]服侍劉璋後效命於劉備。於諸葛亮之征伐南蠻時同行，北伐時則與郭攸之、董允共同負責內政。於諸葛亮歿後平息魏延之叛亂，成為尚書令輔佐大將軍蔣琬。於魏國政權為司馬懿所握，姜維欲趁亂進行北伐之時反對。[n][green][13512][normal]於蜀遊學之時劉備平定蜀，即跟隨劉備。蔣琬歿後就任大將軍。244年，以少數之兵力擊退進攻漢中之曹爽大軍。253年，於新年之筵席中遭來自魏國之降將郭循暗殺。與董允為好友。
18	諸葛瞻	思遠	9	398	398	54	69	69	14	17	17	24	276	1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	285	蜀國丞相諸葛亮長男。母親為黃氏（月英）。諸葛尚之父。娶劉禪之女為妻，繼承父親的爵位。[n][green][13520][normal]261年，被任命為行軍護衛將軍，不過因黃皓掌握政權的關係，稱病在家不出。263年，於綿竹關迎擊侵略蜀國的鄧艾。首戰靠著亮出諸葛亮的木像與兒子諸葛尚一起成功擊退敵軍。拒絕鄧艾的投降勸告並繼續奮戰，但向吳國請求的援軍尚未到來就等不及而再度出戰，受傷後自殺。[n][green][13512][normal]雖然沒有守住蜀國，不過因不背叛蜀國遵從亡父遺志而被讚為忠義。善於書畫。
19	楊儀	威公	5	812	812	60	72	82	13	17	16	20	22	4	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	560	蜀之幕僚。[n][green][13520][normal]參與諸葛亮之北伐。憂心因接連出兵，造成之兵力耗損。在231年之北伐，進言士兵應採輪番制。諸葛亮歿於五丈原之後，成為丞相代理指揮撤退，聽從諸葛亮之遺策討伐魏延。於返回成都後，成為中軍師，但對於經歷尚淺之蔣琬成為諸葛亮繼承者一事感不滿，訴諸於費禕。因遭人通報劉禪，被流放至漢嘉郡後，自殺。[n][green][13512][normal]因其性格狹隘，故與劉巴、魏延對立。雖受諸葛亮賞識其才華，受性格之故，遭排除成為繼承者。
20	鄧芝	伯苗	5	693	693	57	78	80	10	14	18	22	24	28	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	478	蜀國官僚。漢朝司徒鄧禹之么孫。[n][green][13520][normal]劉璋之部下。於劉璋向劉備投降後，追隨劉備成為尚書。劉備歿後，受諸葛亮推舉為對吳之親善使者，與孫權會面。駁倒燒紅大鍋示威之孫權，締結和談合約。於諸葛亮第一回北伐之時輔佐趙雲。爾後也繼續參與北伐戰役。[n][green][13512][normal]東漢末期前往益州，服侍龐羲。劉備平定益州後，歷任廣漢太守、尚書。因吳國談和一事獲孫權頗高評價，爾後孫權亦掛心其安危。於諸葛亮歿後就任車騎將軍。姜維對其評價頗高。
21	廖化	元儉	5	899	899	78	41	60	14	16	13	37	18	22	1	0	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	624	黃巾的武將。之後仕官於劉備。別名、廖淳、廖惇。[n][green][13520][normal]在關羽千里行時登場，救出了劉備夫人。當劉備在南荊州置據點時成為劉備的手下，和關羽一起守備荊州。219年，關羽在麥城被包圍時，單騎逃出城。他在向劉封和孟達討援軍被拒之後，就前往成都。之後也參加了諸葛亮和姜維的北伐。263年，和姜維在劍閣一同抵擋鄧艾和鍾會的軍勢。可是因為成都淪陷而投降。不久就病死。[n][green][13512][normal]關羽敗死後雖待在吳國，但卻詐死返回蜀地。蜀國滅亡後，在被護送到洛陽的途中病死。
22	關索		9	156	156	80	77	40	19	20	12	46	0	16	1	0	84	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	107	關羽三男。[n][green][13520][normal]關羽戰死於荊州時負傷，在鮑家的莊園裡療養。諸葛亮的南蠻討伐戰中率先歸來，並為先鋒。活躍於屢次逮捕孟獲的作戰中。[n][green][13512][normal]無記述。有不少像「[wheat]花關索傳[normal]」等，以關索為題材的民間故事存在，亦為京劇的題材。四川省現存的鮑三娘墓上，記錄著關索和其妻鮑三娘共守葭萌關一事。
23	諸葛均		9	394	394	54	67	82	8	15	16	34	26	29	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	281	諸葛珪之子。諸葛瑾、亮之弟。[n][green][13520][normal]因為諸葛珪早逝之故，和兄長一起由叔父諸葛玄給養育長大。諸葛玄死後，和諸葛亮一起到臥龍岡的草廬渡日，經營著農業。在劉備第二次來訪問諸葛亮時，曾被誤會是諸葛亮。第三次訪問時，因為諸葛亮要出仕於劉備，而將草廬交給他管理。[n][green][13512][normal]仕官於蜀，官至長水校尉。沒有他曾在草廬和劉備應對的記述。
24	劉禪	公嗣	9	870	870	22	18	20	1	3	10	16	8	30	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	608	蜀國第二代皇帝，後主。劉備之子。其母為甘氏。乳名阿斗則是由甘氏於懷胎之時，夢見吞下北斗七星之夢而來。[n][green][13520][normal]長坂坡之戰由糜氏抱其逃亡，爾後為趙雲所救出。於孫氏（尚香）欲返吳國之時，欲挾持其至吳，但遭趙雲及張飛奪回。於劉備歿後，以第二代皇帝之身分即位。將政權委任於諸葛亮、蔣琬、費禕等人。爾後因起用宦官黃皓，導致政治荒廢。163年，鄧艾包圍成都時投降。翌年，被迫遷移至洛陽為安樂公，渡過長壽之一生。[n][green][13512][normal]於後世，其乳名「[wheat]阿斗[normal]」成為意指無能者之一詞。
25	吳懿	子遠	5	247	247	71	70	69	19	19	18	37	0	13	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	160	劉璋的武將。其妹為劉璋之兄劉瑁之妻。吳班的族兄。[n][green][13520][normal]在劉備入蜀時，同劉循、吳蘭、雷銅前來援救在雒城的張任等人，卻被趙雲逮捕而臣服。因守寡的妹妹成為劉備的皇后，並生下劉永和劉理而備受禮遇。參加諸葛亮的北伐，在諸葛亮死後成為車騎將軍守衛漢中。[n][green][13512][normal]為避免和司馬懿同名而記為吳壹。早年喪父，同父親舊交的劉焉加入蜀國。街亭之戰中諸葛亮雖以馬謖為前鋒，但其他的將領卻推舉吳懿和魏延。諸葛亮死後，同王平守衛漢中。
26	吳班	元雄	5	302	302	65	64	47	16	13	10	36	12	26	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	205	蜀國武將。何進的武將吳匡之子，吳懿的族弟。[n][green][13520][normal]張飛的副將。在張飛被范彊和張達所殺害後，便成為關羽和張飛復仇戰的先鋒，向吳國進軍。依張南和馮習的指示在夷陵包圍孫桓，因劉備敗給陸遜而撤退。之後成為後將軍參加諸葛亮的北伐。在第五次的北伐中，同吳懿奉命燒掉魏軍的浮橋，不料被司馬懿識破而被張虎和樂綝所殺。[n][green][13512][normal]在蜀國時，經常得到僅次於吳懿的官位。劉禪時代成為驃騎將軍。在北伐時大破張郃。並沒有戰死的記載。
27	張翼	伯恭	5	619	619	69	73	40	17	18	12	36	14	1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	428	蜀國武將。[n][green][13520][normal]劉備與劉璋起紛爭時，做為劉璝部下與劉備軍對戰，眼見大勢已去殺劉璝投降。其後參與曹操之漢中攻防戰、夷陵之戰、壓制南蠻、諸葛亮之北伐。於諸葛亮歿後支援姜維之北伐，於劍閣奮戰不懈至投降於鐘會為止。蜀國滅亡後翌年，於姜維及鐘會反叛魏國之際，遭捲入混亂，死亡。[n][green][13512][normal]於劉備成為益州牧後受登庸。執法嚴厲，亦嚴格統治異民族，受諸葛亮之信賴。昇至左車騎將軍。反對姜維之北伐。
28	張嶷	伯岐	5	574	574	77	48	65	19	13	16	43	0	24	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	397	蜀國武將。[n][green][13520][normal]參與諸葛亮之壓制南蠻行動。與孟獲之妻祝融對戰，卻因身中飛刀而受捕。爾後於諸葛亮與姜維之北伐中表現傑出。256年，於段谷挺身救出受鄧艾包圍之姜維，自身卻於亂矢箭雨中戰死。[n][green][13512][normal]於諸葛亮之北伐時，遵從馬忠指揮討伐羌族，爾後成為越巂太守，以民族融合方式統治南方之異民族。據說此即為演義中，諸葛亮壓制南蠻劇情之原型。254年，與魏國徐質交戰身亡。南方之異民族因惋惜其之死，建廟宇以供祭祀。
29	馬忠	德信	5	723	723	58	56	54	14	16	13	38	10	4	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	501	蜀國武將。別名狐篤。[n][green][13520][normal]參與諸葛亮之南蠻征伐。雖連續戰鬥表現傑出，但與孟獲之妻祝融夫人戰鬥時，與張嶷同遭祝融夫人逮捕。爾後，參與諸葛亮之北伐。[n][green][13512][normal]劉備於夷陵遭陸遜擊敗後，奉巴西太守閻芝之命前往救援，得劉備讚揚其曰「[wheat]失之黃權，卻得馬忠[normal]」。爾後，於諸葛亮出征之時，一方輔佐蔣琬、費禕等人執行政務，另一方則發揮羌族及南蠻等統治外族邊境之本領。知曉體恤他人，為人心胸寬大，受異民族之敬愛。後高昇為鎮南將軍。
30	高翔		5	255	255	67	68	51	11	11	9	36	266	10	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	168	蜀國武將。[n][green][13520][normal]參加諸葛亮的北伐。在街亭之戰中駐紮列柳城，擔任馬謖進軍街亭的後方支援。在諸葛亮的第四次北伐中，擔任使用木牛流馬的兵糧運輸工作。聽從諸葛亮的計策讓魏軍數次奪走木牛流馬，中計的魏軍就被伏兵所擊敗。[n][green][13512][normal]在第四次北伐中，同魏延、吳班擊破張郃軍，奪取了三千首級、五千件黑金鎧甲、五千張弩，表現大為活躍。
31	李嚴	正方	5	848	848	75	72	74	19	21	19	45	26	1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	589	劉璋之武將。爾後服侍於劉備。改名為李平。[n][green][13520][normal]與費觀一同防守綿竹關。在劉備軍進攻而來時進行防守戰，雖與黃忠交戰不分軒輊，最終還是在諸葛亮包圍之下投降。說服費觀開放綿竹關。諸葛亮評其「[wheat]可媲美陸遜之人物[normal]」，於劉備歿後進入白帝城，留意防備吳國之動靜。於諸葛亮之北伐中擔任運送糧食之任務。231年之第四回北伐因不及調配兵糧，故散佈吳軍來襲之偽報致使遠征軍返國，遭剝奪官職。234年，因諸葛亮之死使其復職無望，故悲憤而死。[n][green][13512][normal]曾服侍劉表。因曹操侵略荊州逃往蜀國。
32	杜琼		5	#N/A	#N/A	#N/A	#N/A	#N/A	2	4	15	28	14	29	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	#N/A	#N/A
33	李恢	德昂	5	834	834	70	72	88	11	16	17	27	16	30	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	582	劉璋之武將。後服侍於劉備。[n][green][13520][normal]劉璋向劉備求援時，提出反對但未受採納。因對劉璋失望故轉而效命於劉備，說服馬超使其歸順。後參與諸葛亮之北伐。[n][green][13512][normal]受董和之推薦而前往州郡之途中，聽聞劉備攻擊劉璋一事，預測劉璋必將敗北而服侍於劉備。劉備歿後，於南方遭異民族之反叛軍包圍，但巧施計策突破包圍網。協助諸葛亮鎮壓反叛。於諸葛亮歿後，平定再次掀起之反叛。將物資及人員送往成都，成為北伐之原動力。
34	向寵		5	384	384	69	78	53	9	19	17	32	276	1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	271	蜀國武將，向朗兄長之子。[n][green][13520][normal]在諸葛亮的「[wheat]出師表[normal]」裡出現。精通軍事，劉備對他也有不錯的評價，因此被推舉為都督。在諸葛亮出發北伐後，以御林軍（近衛）總督的身分防守成都。[n][green][13512][normal]在劉備時代成為牙門將軍。在夷陵之戰蜀軍敗北的時候，只有向寵的軍營毫髮無傷。240年，在討伐漢嘉郡的異族時戰死。
35	陳式		5	641	641	67	60	28	14	13	7	32	14	26	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	443	蜀國武將。有一說為正史「[wheat]三國志[normal]」之作者陳壽之父。[n][green][13520][normal]與曹操之漢中攻防戰中做為黃忠部下參戰。雖於定軍山之戰遭魏軍逮捕，但因與夏侯尚交換人質而得以生還。後參與諸葛亮之北伐。230年，進攻蜀國領地之曹真與司馬懿因大雨而撤退時，違背諸葛亮命令與魏延一同追擊，敗北。故遭處刑。[n][green][13512][normal]夷陵之戰與吳班一同率領水軍。229年第三回北伐攻下武都、陰平。並無遭諸葛亮處刑之記述。於「[wheat]晉書[normal]」中陳壽之父因街亭之戰，與馬謖遭連座處刑，演義中之處刑即以此做為題材。
36	董允	休昭	5	677	677	22	38	78	3	15	19	23	28	30	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	469	董和之子。與諸葛亮、蔣琬、費禕並稱「[wheat]蜀國四相[normal]」。[n][green][13520][normal]於諸葛亮北伐中，與郭攸之、費禕一同負責留守。於諸葛亮歿後，魏延及楊儀發生對立之時支持楊儀。並為說服魏延而前往漢中，但到達之時魏延已遭馬岱所殺。[n][green][13512][normal]於劉備立劉禪為太子之時，負責擔任劉禪之教育。於諸葛亮歿後亦輔佐劉禪，扼阻黃皓等惡臣之抬頭。歷任輔國大將軍、侍中守尚書令等，於好友費禕成為大將軍後，做為其次官擔當國政。董允死後，由黃皓掌握政權，致使蜀國邁向滅亡之路。
37	郭攸之	演長	5	95	95	10	15	60	5	6	14	19	28	29	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	76	蜀國侍中。[n][green][13520][normal]受劉備所提拔。在諸葛亮的出師表中評論其「[wheat]與費禕、董允同為誠實忠義之士。宮中的所有事情皆要向此三人商談[normal]」。諸葛亮北伐前任命留守成都。[n][green][13512][normal]個性穩重，人品及學識之高廣為人知。在出師表上奏後，費禕為參軍，董允則晉升為侍中兼虎賁中郎將負責指揮近衛隊，但卻沒有郭攸之的升官記載。
